ibge_code,nome_norm,pib_per_capita,idh,saneamento
3540903,pradopolis,49306.42,0.65,100.0
3541000,praia grande,25940.64,0.692,71.61
3541059,pratania,23527.63,0.633,100.0
3541109,presidente alves,19014.7,0.689,100.0
3541208,presidente bernardes,25644.3,0.719,91.63
3541307,presidente epitacio,29738.9,0.7,97.39
3541406,presidente prudente,39845.11,0.774,100.0
3541505,presidente venceslau,20760.95,0.708,79.97
3541604,promissao,51330.11,0.666,93.28
3541653,quadra,37038.08,0.541,61.66
3541703,quata,57387.58,0.7,100.0
3541802,queiroz,194914.13,0.681,100.0
3541901,queluz,28178.35,0.687,61.1
3542008,quintana,41016.0,0.703,97.54
3542107,rafard,48529.75,0.696,0.0
3542206,rancharia,46459.21,0.683,100.0
3542305,redencao da serra,17461.44,0.56,89.93
3542404,regente feijo,47932.82,0.752,100.0
3542503,reginopolis,18401.03,0.66,72.22
3542602,registro,41751.4,0.702,91.1
3542701,restinga,27280.56,0.639,95.08
3542800,ribeira,18699.17,0.673,44.93
3542909,ribeirao bonito,27794.44,0.625,0.0
3543006,ribeirao branco,37255.94,0.553,85.11
3543105,ribeirao corrente,66664.82,0.642,98.2
3543204,ribeirao do sul,49451.73,0.676,100.0
3543238,ribeirao dos indios,21152.38,0.701,99.99
3543253,ribeirao grande,15221.41,0.676,52.29
3543303,ribeirao pires,31068.87,0.76,47.38
3543402,ribeirao preto,55484.91,0.739,93.77
3543501,riversul,17299.84,0.577,100.0
3543600,rifaina,52357.63,0.69,100.0
3543709,rincao,20883.52,0.682,0.0
3543808,rinopolis,35113.28,0.644,55.36
3543907,rio claro,63209.08,0.766,93.11
3544004,rio das pedras,49338.49,0.7,0.0
3544103,rio grande da serra,18472.33,0.745,95.01
3544202,riolandia,20921.21,0.629,94.62
3544251,rosana,121065.75,0.728,100.0
3544301,roseira,34421.96,0.704,93.94
3544400,rubiacea,24710.59,0.668,100.0
3544509,rubineia,32233.41,0.726,82.58
3544608,sabino,31123.73,0.671,100.0
3544707,sagres,22566.69,0.677,100.0
3544806,sales,26150.29,0.697,59.44
3544905,sales oliveira,34473.89,0.739,86.2
3545001,salesopolis,14499.33,0.69,67.77
3545100,salmourao,18037.04,0.649,100.0
3545159,saltinho,44465.92,0.75,100.0
3545209,salto,77029.01,0.751,0.0
3545308,salto de pirapora,47995.61,0.665,65.99
3545407,salto grande,29155.3,0.637,64.39
3545506,sandovalina,72374.52,0.659,99.99
3545605,santa adelia,24461.0,0.702,70.42
3545704,santa albertina,35584.96,0.665,100.0
3545803,santa barbara d oeste,40073.67,0.731,100.0
3546009,santa branca,20959.37,0.678,29.43
3546108,santa clara d oeste,45847.14,0.687,100.0
3546207,santa cruz da conceicao,35264.11,0.679,98.0
3546256,santa cruz da esperanca,29296.72,0.686,96.83
3546306,santa cruz das palmeiras,18687.66,0.635,0.0
3546405,santa cruz do rio pardo,57811.23,0.686,92.48
3546504,santa ernestina,18714.85,0.699,100.0
3546603,santa fe do sul,41007.46,0.751,84.39
3546702,santa gertrudes,139885.74,0.654,81.26
3546801,santa isabel,28340.36,0.689,15.65
3546900,santa lucia,14751.7,0.703,100.0
3547007,santa maria da serra,24297.18,0.571,
3547106,santa mercedes,23436.56,0.699,93.22
3547205,santana da ponte pensa,27564.35,0.733,100.0
3547304,santana de parnaiba,79579.96,0.725,20.55
3547403,santa rita d oeste,27518.08,0.74,80.71
3547502,santa rita do passa quatro,29877.17,0.686,94.6
3547601,santa rosa de viterbo,30914.1,0.704,97.2
3547650,santa salete,27025.83,0.748,100.0
3547700,santo anastacio,26650.73,0.689,100.0
3547809,santo andre,45062.56,0.769,41.13
3547908,santo antonio da alegria,30114.17,0.604,78.21
3548005,santo antonio de posse,78794.3,0.576,99.2
3548054,santo antonio do aracangua,33916.19,0.728,83.34
3548104,santo antonio do jardim,37602.53,0.62,97.54
3548203,santo antonio do pinhal,21690.65,0.632,54.02
3548302,santo expedito,14964.67,0.714,95.73
3548401,santopolis do aguapei,16609.02,0.719,100.0
3548500,santos,55508.46,0.807,97.6
3548609,sao bento do sapucai,37283.14,0.638,66.71
3548708,sao bernardo do campo,68571.36,0.752,24.43
3548807,sao caetano do sul,95640.71,0.811,85.0
3548906,sao carlos,55044.88,0.766,86.44
3549003,sao francisco,18189.76,0.658,100.0
3549102,sao joao da boa vista,44794.34,0.749,94.97
3549201,sao joao das duas pontes,20591.79,0.686,99.99
3549250,sao joao de iracema,26507.78,0.738,80.91
3549300,sao joao do pau d alho,27920.27,0.692,100.0
3549409,sao joaquim da barra,41547.41,0.706,100.0
3549508,sao jose da bela vista,25749.88,0.58,94.5
3549607,sao jose do barreiro,15297.56,0.591,0.0
3549706,sao jose do rio pardo,42952.13,0.717,12.88
3549805,sao jose do rio preto,44679.93,0.748,91.58
3549904,sao jose dos campos,61315.88,0.764,94.63
3549953,sao lourenco da serra,17697.76,0.666,57.46
3550001,sao luis do paraitinga,,,
3550100,sao manuel,32463.42,0.695,97.85
3550209,sao miguel arcanjo,28853.83,0.633,83.13
3550308,sao paulo,66872.84,0.725,71.35
3550407,sao pedro,24418.31,0.674,86.09
3550506,sao pedro do turvo,30342.39,0.636,76.07
3550605,sao roque,37074.85,0.687,69.91
3550704,sao sebastiao,174696.31,0.703,77.8
3550803,sao sebastiao da grama,35304.59,0.724,100.0
3550902,sao simao,32456.75,0.722,0.0
3551009,sao vicente,16506.51,0.716,74.28
3551108,sarapui,19433.04,0.621,60.14
3551207,sarutaia,26651.32,0.603,93.78
3551306,sebastianopolis do sul,116133.14,0.74,100.0
3551405,serra azul,12785.98,0.572,77.14
3551504,serrana,29221.73,0.65,80.48
3551603,serra negra,28485.03,0.676,79.97
3551702,sertaozinho,55352.42,0.672,80.0
3551801,sete barras,29783.21,0.562,73.6
3551900,severinia,15258.78,0.638,90.83
3552007,silveiras,14518.99,0.584,91.49
3552106,socorro,26870.22,0.634,71.45
3552205,sorocaba,64046.61,0.762,90.08
3552304,sud mennucci,29307.88,0.694,100.0
3552403,sumare,55816.79,0.705,24.23
3552502,suzano,48818.92,0.723,54.79
3552551,suzanapolis,84169.56,0.631,40.49
3552601,tabapua,22859.37,0.666,94.28
3552700,tabatinga,20278.99,0.609,79.82
3552809,taboao da serra,34588.58,0.71,43.99
3552908,taciba,29259.48,0.684,100.0
3553005,taguai,23824.33,0.631,100.0
3553104,taiacu,17319.16,0.628,90.69
3553203,taiuva,25108.07,0.718,99.89
3553302,tambau,30119.07,0.624,98.95
3553401,tanabi,50458.24,0.687,71.95
3553500,tapirai,23966.14,0.578,93.66
3553609,tapiratiba,23275.49,0.692,77.58
3553658,taquaral,16647.2,0.716,98.79
3553708,taquaritinga,28846.24,0.696,100.0
3553807,taquarituba,42424.52,0.606,100.0
3553856,taquarivai,61548.88,0.626,60.06
3553906,tarabai,22125.16,0.697,100.0
3553955,taruma,58396.99,0.68,98.42
3554003,tatui,40892.85,0.688,91.2
3554102,taubate,50495.56,0.746,95.89
3554201,tejupa,31023.44,0.563,0.0
3554300,teodoro sampaio,26801.81,0.679,97.23
3554409,terra roxa,18410.36,0.684,100.0
